1,DF16 PLW,2002-09-20,TRUE,37.99
2,AG70 OOC,2004-02-01,TRUE,39.99
3,HC61 COO,2019-09-04,FALSE,54.99
4,NM67 HAR,2004-07-07,TRUE,39.99
5,YP10 FDM,2016-06-06,FALSE,51.99
6,GM13 OCE,2015-05-24,TRUE,50.99
7,WS65 OSN,2012-08-11,FALSE,47.99
8,PK14 KAY,2005-01-08,TRUE,40.99
9,SK67 MER,2003-09-17,TRUE,38.99
10,HV61 YPL,2002-07-18,TRUE,37.99
11,RB62 ACO,2009-04-12,TRUE,44.99
12,CK58 MYS,2014-07-15,FALSE,49.99
13,GH55 VDS,2013-01-16,TRUE,48.99
14,MN03 DKB,2000-11-30,TRUE,35.99
15,ER68 VMO,2013-04-09,FALSE,48.99
16,DF16 PLW,2010-05-24,TRUE,45.99
17,MO59 WYE,2006-02-03,FALSE,41.99
18,NM67 HAR,2012-01-06,TRUE,47.99
19,OL56 OYA,2016-11-16,FALSE,51.99
20,KS09 SAF,2013-10-25,FALSE,48.99
21,VR03 WNP,2011-05-03,TRUE,46.99
22,YP10 FDM,2005-05-28,FALSE,40.99
23,DM53 HLD,2012-04-09,TRUE,47.99
24,MP17 RVP,2010-03-15,FALSE,45.99
25,KW67 BMM,2016-10-05,TRUE,51.99
26,RA54 MPE,2012-04-10,TRUE,47.99
27,PW53 FLB,2012-02-19,TRUE,47.99
28,PW53 FLB,2008-09-16,TRUE,43.99
29,CB54 OBP,2003-05-19,FALSE,38.99
30,HB04 EEV,2012-07-04,TRUE,47.99
31,YR03 EHW,2001-05-26,TRUE,36.99
32,AK53 OYL,2006-05-21,TRUE,41.99
33,HG69 WMG,2005-07-01,TRUE,40.99
34,FH54 MDW,2020-05-25,TRUE,55.99
35,CK58 MYS,2012-08-10,TRUE,47.99
36,HC67 FAL,2017-04-17,TRUE,52.99
37,EO19 SEH,2015-11-14,FALSE,50.99
38,FW69 GNP,2001-02-20,TRUE,36.99
39,KW55 KAV,2009-09-10,TRUE,44.99
40,RB56 BYO,2014-10-04,FALSE,49.99
41,HC67 FAL,2014-01-15,TRUE,49.99
42,LC67 VED,2006-08-04,TRUE,41.99
43,KR59 KYR,2017-10-28,TRUE,52.99
44,NP67 OHA,2018-10-14,FALSE,53.99
45,SF60 MAD,2003-01-27,TRUE,38.99
46,SO10 GAG,2020-08-26,TRUE,55.99
47,GB68 NPY,2011-08-01,TRUE,46.99
48,FA68 MCF,2019-04-10,TRUE,54.99
49,AK61 YKD,2012-08-03,TRUE,47.99
50,GM13 OCE,2004-11-10,TRUE,39.99
51,OW08 LCR,2007-05-01,TRUE,42.99
52,FA68 MCF,2010-02-02,TRUE,45.99
53,HG69 WMG,2000-05-08,FALSE,35.99
54,BB57 VSV,2012-08-27,TRUE,47.99
55,DB10 DGL,2020-03-18,TRUE,55.99
56,WR05 KMH,2004-06-09,FALSE,39.99
57,LS06 KVF,2013-12-28,TRUE,48.99
58,BB57 VSV,2011-08-21,TRUE,46.99
59,AM64 NFY,2017-02-25,TRUE,52.99
60,HL03 ESG,2004-02-14,TRUE,39.99
61,LN12 EWA,2010-02-27,TRUE,45.99
62,PF65 AWS,2017-03-17,TRUE,52.99
63,CK58 MYS,2010-04-06,TRUE,45.99
64,FY63 GCF,2014-11-06,FALSE,49.99
65,NM67 HAR,2001-10-26,TRUE,36.99
66,FY63 GCF,2005-02-24,TRUE,40.99
67,ML63 KNL,2005-12-06,TRUE,40.99
68,YP10 FDM,2011-09-17,TRUE,46.99
69,YS10 YFF,2003-01-02,FALSE,38.99
70,CK58 MYS,2001-09-29,FALSE,36.99
71,BM59 EBA,2016-01-29,TRUE,51.99
72,GC17 CRN,2019-07-27,FALSE,54.99
73,RB62 ACO,2009-09-07,TRUE,44.99
74,RB56 BYO,2019-08-30,TRUE,54.99
75,DO63 HAE,2010-07-09,FALSE,45.99
76,HC67 FAL,2001-10-28,TRUE,36.99
77,OC57 ROH,2006-07-16,FALSE,41.99
78,WO52 PAK,2003-04-18,TRUE,38.99
79,FR67 HGH,2012-03-25,FALSE,47.99
80,DV61 VYM,2014-04-11,TRUE,49.99
81,PB57 NLG,2002-09-01,TRUE,37.99
82,VS16 BLE,2013-10-19,TRUE,48.99
83,KR59 KYR,2016-07-24,TRUE,51.99
84,BF18 OCD,2011-02-11,TRUE,46.99
85,LN12 EWA,2011-05-16,TRUE,46.99
86,BB05 OWB,2001-05-20,FALSE,36.99
87,BA02 LOS,2013-12-19,TRUE,48.99
88,HV09 FAR,2014-02-20,FALSE,49.99
89,FF58 RBA,2003-12-11,TRUE,38.99
90,RF13 BNR,2004-09-25,FALSE,39.99
91,EE58 HRB,2011-01-28,TRUE,46.99
92,AK61 YKD,2018-02-19,FALSE,53.99
93,HD62 NHE,2012-05-02,FALSE,47.99
94,WF10 BNS,2005-09-16,TRUE,40.99
95,SK67 MER,2004-11-05,FALSE,39.99
96,AM64 NFY,2011-04-12,FALSE,46.99
97,RO52 OSK,2012-10-07,TRUE,47.99
98,KE55 PNC,2013-06-11,TRUE,48.99
99,DE63 YOF,2019-05-23,FALSE,54.99
100,DV61 VYM,2019-05-08,TRUE,54.99
101,HV61 YPL,2012-07-25,TRUE,47.99
102,FB05 VWA,2012-05-02,TRUE,47.99
103,GS18 OYR,2014-03-18,FALSE,49.99
104,HN19 MKD,2009-11-30,TRUE,44.99
105,SN20 EPE,2002-05-07,FALSE,37.99
106,SP70 ARR,2015-11-16,TRUE,50.99
107,FB05 VWA,2009-05-28,TRUE,44.99
108,HD62 NHE,2013-07-15,TRUE,48.99
109,AM64 NFY,2012-07-12,TRUE,47.99
110,KO06 EFM,2009-07-27,TRUE,44.99
111,FB07 OOE,2009-02-16,FALSE,44.99
112,KY06 DKA,2000-02-13,TRUE,35.99
113,YC67 CLD,2011-06-14,FALSE,46.99
114,AE10 GOR,2012-02-03,TRUE,47.99
115,FH54 MDW,2007-01-14,TRUE,42.99
116,BF08 SMM,2009-04-03,FALSE,44.99
117,RR66 CRB,2017-01-12,FALSE,52.99
118,DV61 VYM,2014-12-12,TRUE,49.99
119,AG70 OOC,2018-08-30,TRUE,53.99
120,OL56 OYA,2006-03-26,FALSE,41.99
121,KM12 DWN,2005-04-27,TRUE,40.99
122,HD62 NHE,2019-09-17,TRUE,54.99
123,RF69 GBE,2019-10-22,FALSE,54.99
124,DM53 HLD,2016-11-26,TRUE,51.99
125,CW60 NWY,2019-07-10,TRUE,54.99
126,HD62 NHE,2011-12-28,TRUE,46.99
127,FW69 GNP,2004-06-23,TRUE,39.99
128,SW55 PKK,2020-11-26,FALSE,55.99
129,NW05 HNB,2011-03-19,TRUE,46.99
130,PN08 KCN,2019-09-21,TRUE,54.99
131,WS65 OSN,2002-09-03,TRUE,37.99
132,PW53 FLB,2010-08-21,TRUE,45.99
133,LW18 YHA,2008-12-20,TRUE,43.99
134,CM54 PEP,2017-06-02,FALSE,52.99
135,KM18 AMY,2014-01-16,FALSE,49.99
136,DA59 SAC,2008-05-21,FALSE,43.99
137,PN08 KCN,2006-05-20,TRUE,41.99
138,SN20 EPE,2007-06-09,TRUE,42.99
139,RF13 BNR,2003-03-30,TRUE,38.99
140,PO61 FRY,2020-10-25,TRUE,55.99
141,KS09 SAF,2017-10-22,FALSE,52.99
142,KW66 VOP,2003-07-16,TRUE,38.99
143,PN08 KCN,2013-12-02,TRUE,48.99
144,PS09 VCE,2001-03-08,FALSE,36.99
145,YR03 EHW,2006-10-11,TRUE,41.99
146,EE58 HRB,2014-03-12,TRUE,49.99
147,CF12 DER,2020-10-14,TRUE,55.99
148,CW60 NWY,2007-12-18,TRUE,42.99
149,DH69 CNV,2001-10-29,TRUE,36.99
150,YC67 CLD,2005-04-30,TRUE,40.99
151,PO61 FRY,2006-01-03,FALSE,41.99
152,KW66 VOP,2010-06-28,TRUE,45.99
153,GC17 CRN,2012-11-17,TRUE,47.99
154,CW60 NWY,2016-09-07,TRUE,51.99
155,RO52 OSK,2001-04-26,FALSE,36.99
156,RA54 MPE,2005-07-13,TRUE,40.99
157,VK05 LML,2009-04-18,TRUE,44.99
158,PD03 NHO,2016-08-25,FALSE,51.99
159,WR05 KMH,2008-11-22,FALSE,43.99
160,GM13 OCE,2007-10-02,TRUE,42.99
161,WA20 AND,2015-10-18,FALSE,50.99
162,BF08 SMM,2014-10-11,TRUE,49.99
163,VF62 MGH,2007-04-19,TRUE,42.99
164,FL55 RHP,2020-05-16,TRUE,55.99
165,DA52 WYV,2007-04-25,TRUE,42.99
166,YP10 FDM,2000-10-05,FALSE,35.99
167,WS02 DLH,2000-02-20,FALSE,35.99
168,HC61 COO,2015-12-25,TRUE,50.99
169,YF61 LSK,2005-03-14,TRUE,40.99
170,GH55 VDS,2006-03-19,TRUE,41.99
171,LM62 GON,2006-12-25,TRUE,41.99
172,DW19 FYN,2006-11-02,TRUE,41.99
173,HV16 CDM,2000-05-24,FALSE,35.99
174,KO06 EFM,2016-02-25,TRUE,51.99
175,PN08 KCN,2001-03-13,TRUE,36.99
176,DR56 OMD,2000-05-05,FALSE,35.99
177,WA20 AND,2003-07-14,FALSE,38.99
178,OF60 HCN,2008-04-20,FALSE,43.99
179,ML63 KNL,2016-03-07,TRUE,51.99
180,LA62 SMO,2014-12-27,TRUE,49.99
181,DR56 OMD,2016-12-22,TRUE,51.99
182,GM13 OCE,2014-08-21,TRUE,49.99
183,PB57 NLG,2019-01-19,TRUE,54.99
184,FG19 VVG,2009-04-07,TRUE,44.99
185,MO59 WYE,2007-12-20,TRUE,42.99
186,PD03 NHO,2012-11-10,TRUE,47.99
187,VF62 MGH,2000-02-22,FALSE,35.99
188,SW12 GCC,2001-06-05,TRUE,36.99
189,LO05 PAF,2004-04-20,FALSE,39.99
190,KW66 VOP,2017-12-05,FALSE,52.99
191,WG13 MBA,2012-10-02,FALSE,47.99
192,CL57 SDM,2017-07-20,TRUE,52.99
193,PB57 NLG,2014-11-15,TRUE,49.99
194,HG69 WMG,2005-06-28,TRUE,40.99
195,HV54 WFC,2019-03-03,TRUE,54.99
196,WO52 PAK,2017-05-01,TRUE,52.99
197,ML63 KNL,2000-06-03,FALSE,35.99
198,NA57 MKR,2009-05-10,TRUE,44.99
199,EO19 SEH,2010-06-05,TRUE,45.99
200,DA52 WYV,2001-05-22,TRUE,36.99
201,KW66 VOP,2005-07-10,TRUE,40.99
202,KY06 DKA,2018-01-12,FALSE,53.99
203,BM59 EBA,2001-06-12,TRUE,36.99
204,DE63 YOF,2010-02-05,TRUE,45.99
205,MP17 RVP,2003-12-29,TRUE,38.99
206,CH17 BGB,2000-11-26,FALSE,35.99
207,GO60 YLY,2016-03-29,TRUE,51.99
208,PB57 NLG,2018-04-05,TRUE,53.99
209,KY66 MLD,2012-05-08,TRUE,47.99
