1,HC61 COO,2019-09-04,256.99
2,YP10 FDM,2016-06-06,375.99
3,WS65 OSN,2012-08-11,401.99
4,CK58 MYS,2014-07-15,51.99
5,ER68 VMO,2013-04-09,184.99
6,MO59 WYE,2006-02-03,360.99
7,OL56 OYA,2016-11-16,344.99
8,KS09 SAF,2013-10-25,354.99
9,YP10 FDM,2005-05-28,254.99
10,MP17 RVP,2010-03-15,177.99
11,CB54 OBP,2003-05-19,269.99
12,EO19 SEH,2015-11-14,156.99
13,RB56 BYO,2014-10-04,250.99
14,NP67 OHA,2018-10-14,337.99
15,HG69 WMG,2000-05-08,499.99
16,WR05 KMH,2004-06-09,456.99
17,FY63 GCF,2014-11-06,126.99
18,YS10 YFF,2003-01-02,196.99
19,CK58 MYS,2001-09-29,444.99
20,GC17 CRN,2019-07-27,302.99
21,DO63 HAE,2010-07-09,191.99
22,OC57 ROH,2006-07-16,129.99
23,FR67 HGH,2012-03-25,416.99
24,BB05 OWB,2001-05-20,415.99
25,HV09 FAR,2014-02-20,429.99
26,RF13 BNR,2004-09-25,327.99
27,AK61 YKD,2018-02-19,89.99
28,HD62 NHE,2012-05-02,191.99
29,SK67 MER,2004-11-05,133.99
30,AM64 NFY,2011-04-12,447.99
31,DE63 YOF,2019-05-23,130.99
32,GS18 OYR,2014-03-18,411.99
33,SN20 EPE,2002-05-07,97.99
34,FB07 OOE,2009-02-16,323.99
35,YC67 CLD,2011-06-14,198.99
36,BF08 SMM,2009-04-03,70.99
37,RR66 CRB,2017-01-12,169.99
38,OL56 OYA,2006-03-26,71.99
39,RF69 GBE,2019-10-22,206.99
40,SW55 PKK,2020-11-26,107.99
41,CM54 PEP,2017-06-02,340.99
42,KM18 AMY,2014-01-16,354.99
43,DA59 SAC,2008-05-21,415.99
44,KS09 SAF,2017-10-22,53.99
45,PS09 VCE,2001-03-08,129.99
46,PO61 FRY,2006-01-03,421.99
47,RO52 OSK,2001-04-26,83.99
48,PD03 NHO,2016-08-25,216.99
49,WR05 KMH,2008-11-22,330.99
50,WA20 AND,2015-10-18,166.99
51,YP10 FDM,2000-10-05,55.99
52,WS02 DLH,2000-02-20,178.99
53,HV16 CDM,2000-05-24,45.99
54,DR56 OMD,2000-05-05,455.99
55,WA20 AND,2003-07-14,440.99
56,OF60 HCN,2008-04-20,107.99
57,VF62 MGH,2000-02-22,516.99
58,LO05 PAF,2004-04-20,387.99
59,KW66 VOP,2017-12-05,373.99
60,WG13 MBA,2012-10-02,125.99
61,ML63 KNL,2000-06-03,342.99
62,KY06 DKA,2018-01-12,190.99
63,CH17 BGB,2000-11-26,153.99
64,OH52 OAL,2019-10-27,77.99
65,FA68 MCF,2018-07-07,513.99
66,NN62 EHY,2002-07-08,137.99
67,PF18 MAP,2007-10-27,521.99
68,BY63 BMA,2008-08-01,157.99
69,ML63 KNL,2010-07-07,122.99
70,SO62 GRW,2012-04-17,427.99
71,BH63 GEB,2015-08-12,115.99
72,HL03 ESG,2013-10-15,80.99
73,BH63 GEB,2008-06-26,452.99
74,HD66 HWH,2005-11-12,341.99
75,YO64 DNS,2007-05-23,323.99
76,KE55 PNC,2016-08-27,403.99
77,LC67 VED,2003-12-20,267.99
78,HA68 RMH,2013-10-28,496.99
79,PW53 FLB,2015-03-18,355.99
80,SF60 MAD,2002-06-23,455.99
81,OH52 OAL,2015-04-25,231.99
82,RF69 GBE,2004-06-13,266.99
83,PF65 AWS,2000-05-14,358.99
84,PF14 GEY,2001-07-14,228.99
85,CO11 KSV,2003-02-06,115.99
86,KM18 AMY,2020-02-23,205.99
87,OF60 HCN,2020-07-07,190.99
88,LO05 PAF,2007-12-26,404.99
89,NM67 HAR,2011-03-19,317.99
90,KY66 MLD,2009-04-08,259.99
91,PK14 KAY,2004-12-25,256.99
92,BY63 BMA,2019-01-03,258.99
93,CK66 YFY,2009-06-10,321.99
94,RV10 FOL,2009-12-25,88.99
95,KM12 DWN,2007-11-21,54.99
96,EP02 NYO,2008-02-17,456.99
97,RB56 BYO,2013-10-30,52.99
98,SF60 MAD,2011-03-20,289.99
99,SO10 GAG,2011-10-11,307.99
100,BE13 WVN,2008-02-04,340.99
101,AE03 PDV,2015-04-07,482.99
102,DM53 HLD,2005-10-25,350.99
103,DF16 PLW,2013-05-25,95.99
104,FS56 KWV,2002-05-22,318.99
105,FL55 RHP,2008-11-22,133.99
106,WA20 AND,2013-03-30,343.99
107,DR56 OMD,2017-11-14,53.99
108,KW55 KAV,2019-07-14,146.99
109,CK58 MYS,2004-09-16,209.99
110,SS59 LFF,2014-02-02,355.99
111,WA20 AND,2013-09-30,446.99
112,DA59 SAC,2016-03-07,70.99
113,DA59 SAC,2004-04-16,283.99
114,WR05 KMH,2013-11-20,198.99
115,RB62 ACO,2005-11-25,319.99
116,RY12 OLW,2010-09-27,215.99
117,PO61 FRY,2013-03-10,93.99
118,KW66 VOP,2018-02-23,380.99
119,RK04 WDP,2016-06-03,199.99
120,RK04 WDP,2019-11-04,383.99
121,CF12 DER,2001-11-30,303.99
122,DA59 SAC,2019-12-22,133.99
123,WR05 KMH,2000-04-25,436.99
124,PD19 GVP,2017-04-02,511.99
125,DW19 FYN,2005-01-15,430.99
126,ER68 VMO,2020-07-22,166.99
127,FB05 VWA,2015-12-09,236.99
128,FW69 GNP,2015-12-05,440.99
129,HN19 MKD,2010-11-16,98.99
130,AR12 DKF,2005-11-12,165.99
