name,postcode,motorway,supermarket,latitude,longitude,e5,e10,b7s,b7p,open,close,                ,openSun,closeSun,car wash, toilets
TESCO,NP4 6JU,0,0,51.70007,-3.04025,NULL,133.9,153.9,NULL,00:00:00,00:00:00,00:00:00,00:00:00,0,1
GULF,GL54 5NT,0,0,51.963227,-1.956052,NULL,137.7,163.7,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,0
TOTAL,DL10 6AB,0,0,54.39353,-1.6168,164.9,141.9,161.9,184.9,07:00:00,22:00:00,07:00:00,22:00:00,1,1
MORRISONS,BL1 4EN,0,0,53.585325,-2.454186,149.9,135.9,152.9,162.9,06:00:00,22:00:00,06:00:00,22:00:00,1,0
ESSO,NG5 1JJ,0,0,52.9803,-1.17461,155.9,140.9,164.9,178.9,06:00:00,00:00:00,06:00:00,00:00:00,0,1
Dolbears Garage LTD,TQ12 1RE,0,0,50.5321073,-3.6247637,NULL,140.0,167.9,NULL,08:00:00,17:30:00,00:00:00,00:00:00,0,0
TESCO,SK15 2BJ,0,0,53.48244,-2.05309,NULL,135.9,148.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,1
TESCO,EX31 2AS,0,0,51.07309,-4.06088,144.9,135.9,155.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,1,1
Texaco,BT47 3SF,0,1,54.97664,-7.26703,NULL,139.9,159.9,NULL,06:00:00,23:00:00,06:00:00,23:00:00,1,1
JET,FK7 8HQ,0,0,56.087836,-3.929951,155.9,141.9,158.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,1,0
SHELL,GL20 5DA,0,0,51.9988672,-2.1518869,164.9,143.9,163.9,184.9,06:30:00,22:00:00,06:30:00,22:00:00,1,1
Shell Redhouse Hannington ,NN6 9TB,0,1,52.3389228,-0.7859701,199.7,137.7,167.7,199.7,05:00:00,22:00:00,05:00:00,22:00:00,0,1
BP,SM2 5BN,0,0,51.357464,-0.191487,165.9,142.9,165.9,185.9,00:00:00,23:59:00,00:00:00,23:59:00,1,1
TEXACO EPSOM DOWNS,KT18 6AP,0,0,51.30344,-0.27042,171.9,151.9,179.9,NULL,06:00:00,22:00:00,06:00:00,22:00:00,0,0
SAINSBURYS,OL6 7UB,0,0,53.49096,-2.10412,148.9,136.9,155.9,NULL,06:00:00,23:00:00,06:00:00,23:00:00,1,0
Nicholl Auto Culmore Omagh,BT78 5LN,0,0,54.591432,-7.31658,154.9,139.6,165.6,NULL,00:00:00,23:59:00,00:00:00,23:59:00,1,0
SHELL,CB2 2LS,0,0,52.173192,0.112396,174.9,148.9,166.9,189.9,00:00:00,23:59:00,00:00:00,23:59:00,0,1
TESCO,RG1 8DF,0,0,51.46005,-0.95608,146.9,137.9,157.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,1,1
BP,YO12 4DH,0,0,54.25998,-0.41657,154.9,144.9,164.9,184.9,06:00:00,22:00:00,06:00:00,22:00:00,1,1
Esso,IP9 2JT,0,1,52.0034111,1.0584377,143.9,137.9,159.9,169.9,00:00:00,23:59:00,00:00:00,23:59:00,0,0
TEXACO EAST SHEEN,SW14 7ED,0,1,51.4641189,-0.2780531,NULL,NULL,NULL,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,0
SHELL HARVEST ENERGY,ST2 7HE,0,0,53.059934,-2.1358986,164.9,143.9,169.9,190.9,00:00:00,23:59:00,00:00:00,23:59:00,0,1
SHELL,OX26 6HB,0,0,51.892958,-1.147634,164.9,137.9,159.9,184.9,00:00:00,23:59:00,00:00:00,23:59:00,0,1
smalleys garage,DN8 4JD,0,0,53.6163076,-0.9746642,179.9,149.9,174.9,189.9,00:00:00,23:59:00,00:00:00,23:59:00,0,0
ESSO,M13 9XF,0,0,53.47037,-2.22381,156.9,141.9,164.9,178.9,06:00:00,22:00:00,06:00:00,22:00:00,0,0
TESCO,WA11 0GT,0,0,53.46493,-2.66555,145.9,136.9,155.9,NULL,07:00:00,22:00:00,07:00:00,22:00:00,1,0
Texaco,BT51 5AA,0,1,54.98527,-6.6862,148.9,139.9,164.9,173.9,06:00:00,23:00:00,06:00:00,23:00:00,0,1
Cowdenbeath Service  Station,KY4 8HQ,0,0,56.098697,-3.358034,NULL,148.9,174.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,0
SAINSBURYS,SS13 1SA,0,0,51.59198,0.50172,151.9,139.9,156.9,NULL,06:00:00,22:00:00,06:00:00,22:00:00,0,0
TESCO,DN20 8AT,0,0,53.55313,-0.49357,NULL,135.9,156.9,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,1
Beltons auto service,PE24 5RF,0,0,53.2308114,0.3352896,NULL,151.7,189.1,NULL,08:00:00,17:00:00,00:00:00,00:00:00,0,0
Hilltop Garage,LE7 7NL,0,0,52.7201162,-1.1286696,NULL,149.9,172.9,NULL,07:00:00,20:00:00,09:00:00,14:00:00,0,0
SAINSBURYS,CH61 7UB,0,0,53.35295,-3.09298,150.9,138.9,159.9,NULL,07:00:00,23:00:00,07:00:00,23:00:00,0,0
TEXACO,CA9 3HY,0,0,54.81105,-2.44197,155.9,142.9,164.9,177.9,06:00:00,22:30:00,06:00:00,22:30:00,1,1
SHELL,CA12 5NY,0,0,54.60542,-3.14623,154.9,141.9,163.9,176.9,07:00:00,20:00:00,07:00:00,20:00:00,0,1
APPLEGREEN,PE16 6QZ,0,0,52.464106,0.043772,NULL,144.8,156.8,NULL,00:00:00,23:59:00,00:00:00,23:59:00,0,1
