sale_id,model_id,sale_date,employee_id,price
1,8,2019-01-01,mhogan,35.0
2,9,2019-01-01,hpatel,25.0
3,8,2019-01-01,hpatel,35.0
4,8,2019-01-01,mohanlon,35.0
5,8,2019-01-01,mohanlon,35.0
6,8,2019-01-01,hpatel,35.0
7,9,2019-01-01,mhogan,25.0
8,14,2019-01-01,hpatel,10.0
9,14,2019-01-01,hpatel,10.0
10,8,2019-01-01,mohanlon,35.0
11,13,2019-01-01,mhogan,5.0
12,14,2019-01-01,hpatel,10.0
13,8,2019-01-01,mohanlon,35.0
14,8,2019-01-01,mohanlon,35.0
15,9,2019-01-01,mhogan,25.0
16,8,2019-01-02,hpatel,35.0
17,8,2019-01-02,mohanlon,35.0
18,13,2019-01-02,lsach,5.0
19,8,2019-01-02,hpatel,35.0
20,8,2019-01-02,lsach,35.0
21,9,2019-01-02,hpatel,25.0
22,8,2019-01-02,mhogan,35.0
23,8,2019-01-02,hpatel,35.0
24,8,2019-01-02,mhogan,35.0
25,8,2019-01-02,hpatel,35.0
26,13,2019-01-02,hpatel,5.0
27,8,2019-01-02,lsach,35.0
28,8,2019-01-02,mohanlon,35.0
29,14,2019-01-02,mohanlon,10.0
30,8,2019-01-02,hpatel,35.0
31,9,2019-01-03,mohanlon,25.0
32,8,2019-01-03,mohanlon,35.0
33,9,2019-01-03,hpatel,25.0
34,14,2019-01-03,hpatel,10.0
35,8,2019-01-03,hpatel,35.0
36,13,2019-01-03,mohanlon,5.0
37,8,2019-01-03,hpatel,35.0
38,13,2019-01-03,mohanlon,5.0
39,13,2019-01-03,hpatel,5.0
40,14,2019-01-03,hpatel,10.0
41,9,2019-01-03,hpatel,25.0
42,9,2019-01-03,lsach,25.0
43,8,2019-01-03,mohanlon,35.0
44,8,2019-01-03,mhogan,35.0
45,8,2019-01-03,mohanlon,35.0
46,8,2019-01-04,hpatel,35.0
47,8,2019-01-04,lsach,35.0
48,8,2019-01-04,mohanlon,35.0
49,8,2019-01-04,mohanlon,35.0
50,8,2019-01-04,mhogan,35.0
51,9,2019-01-04,lsach,25.0
52,8,2019-01-04,lsach,35.0
53,8,2019-01-04,mhogan,35.0
54,13,2019-01-04,hpatel,5.0
55,9,2019-01-04,hpatel,25.0
56,14,2019-01-04,hpatel,10.0
57,8,2019-01-04,hpatel,35.0
58,8,2019-01-04,hpatel,35.0
59,8,2019-01-05,hpatel,35.0
60,14,2019-01-05,hpatel,10.0
61,8,2019-01-05,lsach,35.0
62,8,2019-01-05,mohanlon,35.0
63,8,2019-01-05,mohanlon,35.0
